Month,Max_Temperature_All_Years,Min_Temperature_All_Years,Mean_Temperature_All_Years,Max_Humidity_All_Years,Min_Humidity_All_Years,Mean_Humidity_All_Years,city
1,80.0,41.0,68.10394265232975,98.0,33.0,71.81451612903226,Miami
2,82.0,47.0,70.00892857142857,94.0,37.0,71.20585317460318,Miami
3,84.0,42.0,72.31541218637993,96.0,41.0,68.48521505376344,Miami
4,86.0,57.0,75.8138888888889,92.0,41.0,67.24722222222222,Miami
5,86.0,67.0,79.54659498207884,94.0,48.0,69.18055555555556,Miami
6,90.0,70.0,82.35601851851851,94.0,53.0,74.42361111111111,Miami
7,90.0,75.0,83.67652329749104,90.0,57.0,73.3736559139785,Miami
8,89.0,76.0,83.88664874551972,94.0,56.0,74.54928315412187,Miami
9,88.0,74.0,82.60555555555555,96.0,54.0,76.29074074074074,Miami
10,87.0,64.0,79.48476702508961,96.0,47.0,73.37544802867383,Miami
11,83.0,57.0,74.58888888888889,96.0,44.0,72.72314814814814,Miami
12,82.0,37.0,70.56810035842294,97.0,35.0,72.7679211469534,Miami
1,61.0,4.0,32.64695340501792,100.0,31.0,64.28584229390681,NYC
2,56.0,12.0,34.44097222222222,100.0,21.0,62.79117063492063,NYC
3,65.0,16.0,41.299283154121866,100.0,19.0,63.36559139784946,NYC
4,76.0,24.0,51.338425925925925,100.0,22.0,64.44583333333334,NYC
5,80.0,46.0,60.86469534050179,100.0,27.0,70.28181003584228,NYC
6,88.0,54.0,70.32453703703703,100.0,30.0,71.00416666666666,NYC
7,92.0,62.0,76.0636200716846,99.0,35.0,70.53136200716845,NYC
8,90.0,58.0,75.12141577060932,98.0,35.0,71.20250896057348,NYC
9,86.0,51.0,68.4175925925926,97.0,42.0,70.69907407407408,NYC
10,78.0,37.0,57.40770609318996,99.0,30.0,68.50089605734767,NYC
11,69.0,26.0,47.53611111111111,100.0,30.0,66.4962962962963,NYC
12,63.0,6.0,38.38799283154122,100.0,27.0,65.56720430107526,NYC
1,64.0,40.0,50.35035842293907,99.0,33.0,79.06541218637993,SF
2,64.0,38.0,52.851686507936506,100.0,36.0,76.98065476190476,SF
3,70.0,44.0,54.766577060931894,98.0,33.0,74.5586917562724,SF
4,76.0,46.0,56.63194444444444,96.0,37.0,71.16944444444444,SF
5,80.0,51.0,59.16756272401434,92.0,40.0,70.97267025089606,SF
6,85.0,54.0,61.83379629629629,89.0,35.0,70.72777777777777,SF
7,82.0,54.0,63.306451612903224,93.0,35.0,73.50358422939068,SF
8,82.0,54.0,64.01299283154123,93.0,43.0,74.34318996415772,SF
9,82.0,57.0,64.4287037037037,94.0,31.0,72.60277777777777,SF
10,81.0,52.0,61.968637992831546,94.0,32.0,71.3136200716846,SF
11,68.0,44.0,55.76574074074074,98.0,28.0,74.65092592592593,SF
12,63.0,32.0,50.64964157706093,100.0,36.0,77.43817204301075,SF